time,Open,High,Low,Close,Volume
2026-05-07 07:10:00+00:00,648.68,649.66,648.58,649.65,1299.99
2026-05-07 07:15:00+00:00,649.64,650.2,649.19,649.21,2951.98
2026-05-07 07:20:00+00:00,649.2,650.4,649.11,650.34,1247.01
2026-05-07 07:25:00+00:00,650.34,651.11,650.19,650.72,2437.06
2026-05-07 07:30:00+00:00,650.72,652.73,650.72,652.62,4143.53
2026-05-07 07:35:00+00:00,652.63,652.98,652.25,652.83,1814.92
2026-05-07 07:40:00+00:00,652.83,653.95,652.81,653.38,3152.27
2026-05-07 07:45:00+00:00,653.39,653.87,652.73,652.81,1962.69
2026-05-07 07:50:00+00:00,652.82,653.25,651.87,651.9,1712.91
2026-05-07 07:55:00+00:00,651.9,652.68,651.9,652.43,1088.7
2026-05-07 08:00:00+00:00,652.43,653.62,652.18,653.01,1953.4
2026-05-07 08:05:00+00:00,653.0,653.22,652.09,652.19,2061.54
2026-05-07 08:10:00+00:00,652.19,652.2,650.98,651.36,3612.04
2026-05-07 08:15:00+00:00,651.37,651.5,650.08,650.19,2251.5
2026-05-07 08:20:00+00:00,650.19,650.63,649.5,650.63,2367.39
2026-05-07 08:25:00+00:00,650.63,650.83,649.74,650.83,1298.68
2026-05-07 08:30:00+00:00,650.83,651.99,650.72,650.95,970.81
2026-05-07 08:35:00+00:00,650.95,651.3,650.29,651.11,716.67
2026-05-07 08:40:00+00:00,651.12,651.2,650.52,650.79,865.81
2026-05-07 08:45:00+00:00,650.8,651.25,650.62,651.24,1030.2
2026-05-07 08:50:00+00:00,651.25,652.43,651.21,651.72,1556.52
2026-05-07 08:55:00+00:00,651.71,651.77,651.05,651.49,865.04
2026-05-07 09:00:00+00:00,651.5,651.53,649.78,650.23,1857.13
2026-05-07 09:05:00+00:00,650.23,650.24,649.8,650.14,1108.57
2026-05-07 09:10:00+00:00,650.13,650.31,649.8,650.18,1354.86
2026-05-07 09:15:00+00:00,650.19,650.38,650.06,650.25,886.61
2026-05-07 09:20:00+00:00,650.26,650.33,649.79,649.92,748.11
2026-05-07 09:25:00+00:00,649.92,650.44,649.28,649.61,2418.86
2026-05-07 09:30:00+00:00,649.62,650.21,649.42,649.95,1308.83
2026-05-07 09:35:00+00:00,649.95,650.16,648.8,648.8,1480.71
2026-05-07 09:40:00+00:00,648.8,649.04,648.33,648.45,1279.22
2026-05-07 09:45:00+00:00,648.45,648.99,647.83,648.98,2161.86
2026-05-07 09:50:00+00:00,648.98,649.27,648.13,649.26,1268.41
2026-05-07 09:55:00+00:00,649.26,649.59,648.9,649.28,1374.25
2026-05-07 10:00:00+00:00,649.29,650.09,649.23,649.76,1268.69
2026-05-07 10:05:00+00:00,649.75,649.75,649.14,649.22,757.32
2026-05-07 10:10:00+00:00,649.21,649.21,647.62,648.41,1517.99
2026-05-07 10:15:00+00:00,648.42,649.12,648.28,648.29,1002.01
2026-05-07 10:20:00+00:00,648.29,648.77,647.72,647.72,785.56
2026-05-07 10:25:00+00:00,647.71,648.0,646.53,646.99,2395.39
2026-05-07 10:30:00+00:00,646.99,647.75,646.84,647.17,943.47
2026-05-07 10:35:00+00:00,647.17,647.95,646.98,647.95,903.18
2026-05-07 10:40:00+00:00,647.95,648.66,647.94,648.65,1098.44
2026-05-07 10:45:00+00:00,648.65,648.92,648.21,648.26,723.91
2026-05-07 10:50:00+00:00,648.27,648.47,648.06,648.26,524.11
2026-05-07 10:55:00+00:00,648.27,648.45,648.03,648.1,459.56
2026-05-07 11:00:00+00:00,648.11,649.16,647.94,649.15,1193.57
2026-05-07 11:05:00+00:00,649.16,649.54,648.54,649.05,1112.4
2026-05-07 11:10:00+00:00,649.05,649.05,648.7,648.91,590.05
2026-05-07 11:15:00+00:00,648.92,649.2,648.67,649.07,615.61
2026-05-07 11:20:00+00:00,649.07,649.72,648.84,649.6,803.68
2026-05-07 11:25:00+00:00,649.61,649.66,648.22,648.43,646.89
2026-05-07 11:30:00+00:00,648.43,649.14,648.43,648.73,1240.78
2026-05-07 11:35:00+00:00,648.73,648.8,647.94,648.18,2390.13
2026-05-07 11:40:00+00:00,648.17,648.53,648.15,648.15,564.71
2026-05-07 11:45:00+00:00,648.15,648.39,647.43,647.43,593.61
2026-05-07 11:50:00+00:00,647.43,647.99,646.88,647.99,1422.39
2026-05-07 11:55:00+00:00,648.0,648.54,647.71,648.33,1232.22
2026-05-07 12:00:00+00:00,648.33,649.7,647.75,649.47,2284.47
2026-05-07 12:05:00+00:00,649.47,649.48,648.68,648.87,565.66
2026-05-07 12:10:00+00:00,648.87,649.86,648.87,649.79,745.42
2026-05-07 12:15:00+00:00,649.79,650.0,649.09,649.23,1563.82
2026-05-07 12:20:00+00:00,649.23,649.51,649.0,649.5,661.78
2026-05-07 12:25:00+00:00,649.51,649.96,649.38,649.67,505.7
2026-05-07 12:30:00+00:00,649.67,650.58,649.56,650.4,1663.64
2026-05-07 12:35:00+00:00,650.4,650.45,650.06,650.45,692.75
2026-05-07 12:40:00+00:00,650.44,650.45,650.13,650.44,600.54
2026-05-07 12:45:00+00:00,650.44,650.97,649.8,650.32,1068.47
2026-05-07 12:50:00+00:00,650.32,651.36,650.32,651.36,1575.92
2026-05-07 12:55:00+00:00,651.36,651.48,650.89,651.18,890.45
2026-05-07 13:00:00+00:00,651.18,651.18,650.23,650.49,1358.82
2026-05-07 13:05:00+00:00,650.49,650.49,649.33,649.72,801.23
2026-05-07 13:10:00+00:00,649.72,649.84,648.81,649.18,959.77
2026-05-07 13:15:00+00:00,649.17,650.45,648.81,650.2,780.9
